customer_id,signup_date,country,segment
1,2023-09-14,AU,Premium
2,2023-12-12,CA,New
3,2023-03-09,CA,New
4,2023-11-16,US,Premium
5,2023-07-31,UK,Regular
6,2023-11-01,UK,Regular
7,2023-06-20,US,Premium
8,2023-11-11,CA,Premium
9,2023-09-09,CA,New
10,2023-01-24,US,Premium
11,2023-07-30,UK,Premium
12,2023-10-20,AU,Regular
13,2023-12-20,AU,Premium
14,2023-06-16,CA,Premium
15,2023-12-06,AU,Regular
16,2023-02-01,US,Premium
17,2023-07-20,US,Regular
18,2023-10-03,UK,Premium
19,2023-11-09,US,Premium
20,2023-12-23,US,Premium
21,2023-03-08,CA,New
22,2023-12-04,AU,New
23,2023-10-06,US,New
24,2023-08-22,UK,Premium
25,2023-05-14,UK,Premium
26,2023-07-01,UK,Premium
27,2023-01-13,UK,Premium
28,2023-02-06,CA,Premium
29,2023-08-24,UK,Premium
30,2023-05-09,US,Premium
31,2023-09-03,CA,Premium
32,2023-06-08,AU,Regular
33,2023-04-08,UK,New
34,2023-12-14,UK,New
35,2023-05-23,AU,Premium
36,2023-07-13,UK,Regular
37,2023-01-18,UK,New
38,2023-07-01,US,Premium
39,2023-06-05,CA,Premium
40,2023-09-15,US,Premium
41,2023-06-07,UK,Premium
42,2023-04-03,US,Premium
43,2023-06-26,UK,New
44,2023-11-08,UK,New
45,2023-08-27,CA,Premium
46,2023-06-15,CA,Premium
47,2023-10-27,AU,Premium
48,2023-02-27,AU,Premium
49,2023-02-27,US,New
50,2023-04-15,CA,Premium
51,2023-08-13,CA,New
52,2023-11-30,AU,Regular
53,2023-07-23,AU,Premium
54,2023-06-08,US,New
55,2023-06-20,CA,Premium
56,2023-04-05,CA,New
57,2023-04-23,AU,New
58,2023-02-14,CA,Premium
59,2023-06-08,UK,Regular
60,2023-03-21,AU,Regular
61,2023-07-12,US,Premium
62,2023-11-19,AU,New
63,2023-01-31,CA,Premium
64,2023-03-04,AU,Regular
65,2023-03-22,CA,New
66,2023-07-02,AU,Regular
67,2023-08-04,US,New
68,2023-10-06,CA,Premium
69,2023-08-30,UK,Premium
70,2023-09-08,AU,Premium
71,2023-10-02,US,New
72,2023-11-19,AU,Regular
73,2023-03-12,CA,Premium
74,2023-11-07,CA,Regular
75,2023-07-16,US,New
76,2023-01-11,CA,New
77,2023-12-17,US,Premium
78,2023-05-27,CA,Premium
79,2023-05-25,UK,New
80,2023-07-03,US,New
81,2023-08-06,US,Premium
82,2023-05-17,CA,Regular
83,2023-03-17,AU,Regular
84,2023-09-22,UK,Premium
85,2023-06-25,AU,New
86,2023-11-08,US,Regular
87,2023-01-07,CA,New
88,2023-05-28,AU,Premium
89,2023-12-02,CA,Regular
90,2023-03-03,AU,New
91,2023-05-19,UK,Premium
92,2023-07-20,UK,New
93,2023-07-21,UK,Regular
94,2023-11-30,CA,Premium
95,2023-01-01,AU,Premium
96,2023-06-04,US,Regular
97,2023-07-18,UK,New
98,2023-07-29,US,Premium
99,2023-10-02,CA,New
100,2023-11-06,CA,New
101,2023-11-20,AU,New
102,2023-04-19,US,Premium
103,2023-05-10,AU,New
104,2023-11-23,UK,Premium
105,2023-12-08,US,New
106,2023-09-08,AU,Regular
107,2023-05-22,CA,Regular
108,2023-11-25,AU,Premium
109,2023-01-27,US,New
110,2023-08-28,UK,Premium
111,2023-07-03,CA,Premium
112,2023-03-20,UK,Premium
113,2023-12-08,AU,New
114,2023-05-10,UK,New
115,2023-07-18,CA,Regular
116,2023-11-11,AU,Regular
117,2023-09-02,AU,Premium
118,2023-06-16,US,Regular
119,2023-04-08,AU,New
120,2023-02-03,UK,Regular
121,2023-07-02,UK,New
122,2023-06-07,US,Premium
123,2023-11-06,AU,Regular
124,2023-02-26,AU,Premium
125,2023-11-10,AU,Premium
126,2023-01-05,CA,New
127,2023-09-20,UK,Regular
128,2023-03-31,UK,New
129,2023-08-30,UK,New
130,2023-05-15,AU,Regular
131,2023-12-05,UK,Regular
132,2023-08-16,US,Premium
133,2023-04-04,US,Regular
134,2023-10-06,AU,New
135,2023-08-01,AU,New
136,2023-12-13,AU,Premium
137,2023-07-02,UK,Premium
138,2023-10-01,AU,Regular
139,2023-09-15,UK,Regular
140,2023-06-26,AU,Premium
141,2023-09-01,US,New
142,2023-10-30,AU,Premium
143,2023-05-07,UK,Regular
144,2023-11-16,UK,Premium
145,2023-04-11,AU,New
146,2023-06-24,AU,Regular
147,2023-11-11,CA,Regular
148,2023-11-20,CA,Premium
149,2023-03-16,UK,Regular
150,2023-05-06,US,New
151,2023-04-28,UK,Premium
152,2023-02-09,CA,Regular
153,2023-08-20,CA,New
154,2023-03-30,UK,New
155,2023-08-01,UK,Premium
156,2023-08-02,CA,New
