order_id,customer_id,order_date,status
1,7134,2023-01-13,Completed
2,5809,2023-01-07,Shipped
3,9181,2023-09-27,Completed
4,5696,2023-09-05,Completed
5,5474,2023-04-03,Shipped
6,2499,2023-08-18,Shipped
7,7442,2023-02-07,Completed
8,4554,2023-11-21,Shipped
9,8732,2023-09-22,Shipped
10,4695,2023-03-13,Shipped
11,8711,2023-09-17,Pending
12,7805,2023-10-01,Completed
13,7083,2023-11-04,Shipped
14,1737,2023-12-18,Pending
15,4938,2023-06-27,Completed
16,1584,2023-03-03,Completed
17,3296,2023-06-11,Completed
18,2260,2023-12-19,Completed
19,6987,2023-04-02,Pending
20,5029,2023-11-14,Pending
21,8720,2023-03-30,Shipped
22,9750,2023-01-18,Shipped
23,1756,2023-05-03,Shipped
24,6924,2023-07-18,Pending
25,3518,2023-01-24,Pending
26,1413,2023-10-28,Completed
27,313,2023-02-02,Completed
28,4711,2023-07-27,Shipped
29,6768,2023-12-24,Pending
30,6612,2023-05-19,Shipped
31,9615,2023-10-19,Pending
32,7903,2023-09-24,Completed
33,9923,2023-02-22,Pending
34,846,2023-04-27,Shipped
35,5690,2023-01-04,Completed
36,2783,2023-03-29,Pending
37,9150,2023-09-27,Pending
38,6686,2023-02-11,Shipped
39,2657,2023-02-01,Pending
40,4275,2023-03-06,Pending
41,3064,2023-06-19,Shipped
42,9007,2023-12-15,Shipped
43,598,2023-03-16,Pending
44,2329,2023-02-09,Pending
45,4305,2023-09-10,Shipped
46,5239,2023-02-21,Shipped
47,8672,2023-04-15,Pending
48,2575,2023-08-31,Pending
49,6500,2023-02-24,Shipped
50,7874,2023-12-20,Pending
51,9285,2023-07-02,Completed
52,3552,2023-06-07,Completed
53,5013,2023-09-25,Shipped
54,9078,2023-03-20,Pending
55,7713,2023-01-29,Shipped
56,3336,2023-01-26,Completed
57,6595,2023-03-21,Completed
58,7559,2023-07-08,Pending
59,4694,2023-05-30,Shipped
60,3112,2023-03-29,Pending
61,8833,2023-02-08,Completed
62,5106,2023-12-01,Pending
63,5869,2023-04-14,Pending
64,4186,2023-10-11,Shipped
65,6710,2023-04-08,Completed
66,7457,2023-10-04,Completed
67,5862,2023-07-22,Pending
68,8052,2023-02-14,Pending
69,2524,2023-09-27,Shipped
70,3951,2023-09-08,Completed
71,1254,2023-12-15,Completed
72,9067,2023-05-06,Completed
73,1175,2023-09-21,Shipped
74,6259,2023-12-31,Pending
75,4844,2023-08-04,Completed
76,4754,2023-07-26,Pending
77,1110,2023-02-03,Shipped
78,8394,2023-06-10,Shipped
79,8873,2023-04-06,Completed
80,1840,2023-11-25,Completed
81,2062,2023-07-29,Completed
82,9724,2023-12-15,Pending
83,9201,2023-07-30,Shipped
84,2678,2023-04-13,Shipped
85,9184,2023-05-20,Completed
86,7461,2023-03-26,Completed
87,4102,2023-05-04,Pending
